Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_Kingstate_KCG0601,1,Buzzer,
C10,CP_Elec_6.3x5.4,1,100u,
"C11, C6",0201,2,1u,
C12,0201,1,4n7,
C13,0201,1,100n,
"C2, C3",0201,2,22p,
"C4, C5",0201,2,22u,
C7,0201,1,0u1,
C8,0201,1,10u,
C9,0201,1,2u2,
D1,SOT-143,1,PRTR5V0U2X,
"D2, D3, D7",0201,3,LED,
D5,0201,1,GREEN,
D6,Nexperia_CFP3_SOD-123W,1,PMEG6020ER,
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Pin,
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,
J4,PinHeader_1x03_P2.54mm_Vertical,1,STARBOARD_SERVO,
J5,PinHeader_1x03_P2.54mm_Vertical,1,PORTSIDE_SERVO,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery In,
J7,PinHeader_1x03_P2.54mm_Vertical,1,EJECTION_SERVO,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_2_Small_Open,
L1,0402,1,6u8,
"PORTSIDE_RGB1, STARBOARD_RGB1",LED_ROHM_SMLVN6,2,SMLVN6RGB,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
"R1, R36",0402,2,4.7kΩ,
"R10, R11, R12, R13, R19, R2, R20, R6, R7, R9",0402,10,4k7,
"R14, R15",0402,2,100k,
R16,0402,1,19k1,
R17,0402,1,330R,
"R18, R23, R24",0402,3,10k,
"R21, R22, R34",0402,3,2k2,
"R25, R26, R27, R28, R29, R30",0402,6,220,
"R3, R4",0402,2,330,
"R31, R32",0402,2,5k1,
R33,0402,1,5m,
R35,0402,1,R220,
R5,0402,1,0,
R8,0402,1,DNP,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_1.0x1.0mm,7,TestPoint,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATSAMD11D14A-M,
U10,XDCR_BMP390L,1,BMP390L,
U2,TQFP-48_7x7mm_P0.5mm,1,ATmega4809-A,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25DF641A-SH-T,
U4,SOT-23-5,1,AP2112K-3.3,
U5,HVSOF5,1,BD1020HFV,
U6,LGA-28_5.2x3.8mm_P0.5mm,1,BNO086,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,TXB0104D,
U8,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias,1,TPS61092,
U9,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,MPM3610AGQV-P,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Vertical,1,32.768kHz,
